Note,Score_duration,Time-Signature,Voice,Movement,Measure,Repeated
C♯5,0.25,3/8,x,4,51,0
D5,0.25,3/8,x,4,51,0
B4,0.25,3/8,x,4,51,0
C♯5,0.5,3/8,x,4,52,0
B4,0.5,3/8,x,4,52,0
A4,0.5,3/8,x,4,52,0
F♯5,0.25,3/8,x,4,53,0
E5,0.25,3/8,x,4,53,0
F♯5,0.25,3/8,x,4,53,0
D5,0.25,3/8,x,4,53,0
C♯5,0.25,3/8,x,4,53,0
D5,0.25,3/8,x,4,53,0
A5,0.25,3/8,x,4,54,0
G♯5,0.25,3/8,x,4,54,0
A5,0.25,3/8,x,4,54,0
C♯5,0.25,3/8,x,4,54,0
B4,0.25,3/8,x,4,54,0
A4,0.25,3/8,x,4,54,0
B4,0.5,3/8,x,4,55,0
E4,0.5,3/8,x,4,55,0
G♯4,0.5,3/8,x,4,55,0
A4,0.25,3/8,x,4,56,0
C♯5,0.25,3/8,x,4,56,0
E5,0.25,3/8,x,4,56,0
A5,0.25,3/8,x,4,56,0
G♯5,0.25,3/8,x,4,56,0
A5,0.25,3/8,x,4,56,0
A4,0.25,3/8,x,4,57,0
D5,0.25,3/8,x,4,57,0
F♯5,0.25,3/8,x,4,57,0
A5,0.25,3/8,x,4,57,0
G♯5,0.25,3/8,x,4,57,0
A5,0.25,3/8,x,4,57,0
A4,0.25,3/8,x,4,58,0
C♯5,0.25,3/8,x,4,58,0
E5,0.25,3/8,x,4,58,0
A5,0.25,3/8,x,4,58,0
G♯5,0.25,3/8,x,4,58,0
A5,0.25,3/8,x,4,58,0
F♯5,0.25,3/8,x,4,59,0
E5,0.25,3/8,x,4,59,0
F♯5,0.25,3/8,x,4,59,0
D5,0.25,3/8,x,4,59,0
C♯5,0.25,3/8,x,4,59,0
D5,0.25,3/8,x,4,59,0
A5,0.25,3/8,x,4,60,0
G♯5,0.25,3/8,x,4,60,0
A5,0.25,3/8,x,4,60,0
C♯5,0.25,3/8,x,4,60,0
B4,0.25,3/8,x,4,60,0
A4,0.25,3/8,x,4,60,0
B4,0.5,3/8,x,4,61,0
E4,0.5,3/8,x,4,61,0
G♯4,0.5,3/8,x,4,61,0
A4,0.75,3/8,x,4,62,0
C♯5,0.25,3/8,x,4,62,0
B4,0.25,3/8,x,4,62,0
A4,0.25,3/8,x,4,62,0
D5,0.25,3/8,x,4,49,1
E5,0.25,3/8,x,4,49,1
F♯5,0.25,3/8,x,4,49,1
D5,0.25,3/8,x,4,49,1
E5,0.25,3/8,x,4,49,1
C♯5,0.25,3/8,x,4,49,1
D5,0.5,3/8,x,4,50,1
C♯5,0.5,3/8,x,4,50,1
B4,0.5,3/8,x,4,50,1
C♯5,0.25,3/8,x,4,51,1
D5,0.25,3/8,x,4,51,1
E5,0.25,3/8,x,4,51,1
C♯5,0.25,3/8,x,4,51,1
D5,0.25,3/8,x,4,51,1
B4,0.25,3/8,x,4,51,1
C♯5,0.5,3/8,x,4,52,1
B4,0.5,3/8,x,4,52,1
A4,0.5,3/8,x,4,52,1
F♯5,0.25,3/8,x,4,53,1
E5,0.25,3/8,x,4,53,1
F♯5,0.25,3/8,x,4,53,1
D5,0.25,3/8,x,4,53,1
C♯5,0.25,3/8,x,4,53,1
D5,0.25,3/8,x,4,53,1
A5,0.25,3/8,x,4,54,1
G♯5,0.25,3/8,x,4,54,1
A5,0.25,3/8,x,4,54,1
C♯5,0.25,3/8,x,4,54,1
B4,0.25,3/8,x,4,54,1
A4,0.25,3/8,x,4,54,1
B4,0.5,3/8,x,4,55,1
E4,0.5,3/8,x,4,55,1
G♯4,0.5,3/8,x,4,55,1
A4,0.25,3/8,x,4,56,1
C♯5,0.25,3/8,x,4,56,1
E5,0.25,3/8,x,4,56,1
A5,0.25,3/8,x,4,56,1
G♯5,0.25,3/8,x,4,56,1
A5,0.25,3/8,x,4,56,1
A4,0.25,3/8,x,4,57,1
D5,0.25,3/8,x,4,57,1
F♯5,0.25,3/8,x,4,57,1
A5,0.25,3/8,x,4,57,1
G♯5,0.25,3/8,x,4,57,1
A5,0.25,3/8,x,4,57,1
A4,0.25,3/8,x,4,58,1
C♯5,0.25,3/8,x,4,58,1
E5,0.25,3/8,x,4,58,1
A5,0.25,3/8,x,4,58,1
G♯5,0.25,3/8,x,4,58,1
A5,0.25,3/8,x,4,58,1
F♯5,0.25,3/8,x,4,59,1
E5,0.25,3/8,x,4,59,1
F♯5,0.25,3/8,x,4,59,1
D5,0.25,3/8,x,4,59,1
C♯5,0.25,3/8,x,4,59,1
D5,0.25,3/8,x,4,59,1
A5,0.25,3/8,x,4,60,1
G♯5,0.25,3/8,x,4,60,1
A5,0.25,3/8,x,4,60,1
C♯5,0.25,3/8,x,4,60,1
B4,0.25,3/8,x,4,60,1
A4,0.25,3/8,x,4,60,1
